DATA PULIZIA,CODICE VIA,PERCORSO,Via,DIVIETO DI SOSTA INIZIO,DIVIETO DI SOSTA FINE,NOTE
09/04/2018,700,8,Piazza Di Centa,19:00,05:00,
09/04/2018,3370,8,Via C. Vannetti,19:00,05:00,
09/04/2018,970,8,Via Dogana,19:00,05:00,
09/04/2018,2360,8,Via F. Petrarca,19:00,05:00,parcheggio Petrarca
09/04/2018,2360,8,Via F. Petrarca,19:00,05:00,
09/04/2018,3100,8,Via G. Segantini,19:00,05:00,
09/04/2018,2650,8,Via G.D. Romagnosi,19:00,05:00,
09/04/2018,30,8,Via J. Aconcio,19:00,05:00,
09/04/2018,120,8,Via F. Ambrosi,19:00,05:00,
10/04/2018,480,9,Corso M. Buonarroti,19:00,05:00,lato est
10/04/2018,690,9,Localita' Di Centa,19:00,05:00,
10/04/2018,1520,9,Lungadige G. Leopardi,19:00,05:00,
10/04/2018,395,9,Lungadige L. Braille,19:00,05:00,
10/04/2018,140,9,Via Antonio Da Trento,19:00,05:00,
10/04/2018,3630,9,Via Bepi Mor,19:00,05:00,
10/04/2018,500,9,Via C. Busetti,19:00,05:00,
10/04/2018,1010,9,Via Dos Trento,19:00,05:00,
10/04/2018,1540,9,Via Druso,19:00,05:00,compreso ponte S. Giorgio
10/04/2018,1410,9,Via F. Guardi,19:00,05:00,
10/04/2018,2310,9,Via G. Pedrotti,19:00,05:00,
10/04/2018,3080,9,Via G.A. Scopoli,19:00,05:00,
11/04/2018,100,10,Corso Degli Alpini ,19:00,05:00,lato ovest
11/04/2018,1770,10,Lungadige Marco Apuleio,19:00,05:00,
11/04/2018,570,10,Piazza Gen. A. Cantore,19:00,05:00,
11/04/2018,3190,10,Via A. Stoppani,19:00,05:00,
11/04/2018,1970,10,Via C. Morone,19:00,05:00,
11/04/2018,520,10,Via Caio Valerio Mariano,19:00,05:00,
11/04/2018,1020,10,Via Dosso Dossi,19:00,05:00,
11/04/2018,1570,10,Via E. Maccani,19:00,05:00,lato ovest - da corso Alpini fino rotatoria e parcheggi rotatoria
11/04/2018,1460,10,Via G. B. Lampi,19:00,05:00,
11/04/2018,420,10,Via G. Bresadola,19:00,05:00,
11/04/2018,2070,10,Via G. Oberziner,19:00,05:00,
11/04/2018,1480,10,Via Lavisotto,19:00,05:00,
12/04/2018,100,11,Corso Degli Alpini,19:00,05:00,lato est
12/04/2018,480,11,Corso M. Buonarroti,19:00,05:00,lato ovest
12/04/2018,3050,11,Largo N. Sauro,19:00,05:00,
12/04/2018,2320,11,Piazza S. Pellico,19:00,05:00,
