strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
3030;PIAZZA RAFFAELLO SANZIO;8;entrambi;da incrocio  Via A. Manzoni ad inizio Via G.D. Romagnosi;da incrocio  Via A. Manzoni ad inizio Via G.D. Romagnosi;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
120;VIA F. AMBROSI;8;entrambi;;;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
30;VIA J. ACONCIO;8;entrambi;;;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
700;PIAZZA DI CENTA;8;entrambi;;;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
970;VIA DOGANA;8;entrambi;;;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
1280;VIA A. GAZZOLETTI;8;entrambi;;;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
2650;VIA G.D. ROMAGNOSI;8;entrambi;;;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
3100;VIA G. SEGANTINI;8;entrambi;;;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
3370;VIA C. VANNETTI;8;entrambi;;;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
2360;VIA F. PETRARCA;8;entrambi;compreso parcheggio Petrarca;compreso parcheggio Petrarca;28/09/20;20.15;4.00;19.00;5.00;24/09/20;28/09/20;
2990;PIAZZA S. MARIA MAGGIORE;12;entrambi;tratto da Via della Prepositura a Via A. Rosmini;tratto da Via della Prepositura a Via A. Rosmini;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
3340;VIA DEL TRAVAI;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
350;VIA B. BOMPORTO;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
2960;VIA SANTA MARGHERITA;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
3540;VIA DON G. B. ZANELLA;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
440;VIA DI BRIAMASCO;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
2530;VIA DELLA PREPOSITURA;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
2060;VICOLO AL NUOTO;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
2260;VIA G. PASCOLI;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
2670;VIA A. ROSMINI;12;est;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
1500;PIAZZA LEONARDO DA VINCI;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
3440;VIA G. VERDI;12;entrambi;da incrocio Via A. Rosmini a  Via R. da Sanseverino;da incrocio Via A. Rosmini a  Via R. da Sanseverino;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
3220;VIA T. TARAMELLI;12;entrambi;;;29/09/20;20.15;4.00;19.00;5.00;25/09/20;28/09/20;
