strada;desvia;percorso;lato;tratto;note;data pulizia;orario pulizia inizio;orario pulizia fine;divieto di sosta inizio;divieto di sosta fine;data posizionamento segnaletica;data prima pubblicazione;data aggiornamento
700;PIAZZA DI CENTA;8;entrambi;;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
3030;PIAZZA RAFFAELLO SANZIO;8;entrambi;da incrocio  Via A. Manzoni ad inizio Via G.D. Romagnosi;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
1280;VIA A. GAZZOLETTI;8;entrambi;;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
3370;VIA C. VANNETTI;8;entrambi;;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
970;VIA DOGANA;8;entrambi;;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
120;VIA F. AMBROSI;8;entrambi;;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
2360;VIA F. PETRARCA;8;entrambi;compreso parcheggio Petrarca;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
3100;VIA G. SEGANTINI;8;entrambi;;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
2650;VIA G.D. ROMAGNOSI;8;entrambi;;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
30;VIA J. ACONCIO;8;entrambi;;;09/10/2023;20.15;04.00;19.00;05.00;05/10/2023;13/10/2023;
1500;PIAZZA LEONARDO DA VINCI;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
2990;PIAZZA S. MARIA MAGGIORE;12;entrambi;tratto da Via della Prepositura a Via A. Rosmini;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
4030;PIAZZALE DELLA ZUFFO;12;entrambi;(3 ENTRATE);;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
2670;VIA A. ROSMINI;12;est;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
350;VIA B. BOMPORTO;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
3340;VIA DEL TRAVAI;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
2530;VIA DELLA PREPOSITURA;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
440;VIA DI BRIAMASCO;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
3540;VIA DON G. B. ZANELLA;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
2260;VIA G. PASCOLI;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
3440;VIA G. VERDI;12;entrambi;da incrocio Via A. Rosmini a  Via R. da Sanseverino;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
2960;VIA SANTA MARGHERITA;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
3220;VIA T. TARAMELLI;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
2060;VICOLO AL NUOTO;12;entrambi;;;10/10/2023;20.15;04.00;19.00;05.00;06/10/2023;13/10/2023;
100;CORSO DEGLI ALPINI;10;entrambi;rotatoria all' incrocio con  Via E. Maccani;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
1570;VIA E. MACCANI;10;entrambi;da rotatoria incrocio Via Caduti di Nassiriya a Corso degli Alpini;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
1770;LUNGADIGE MARCO APULEIO;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
570;PIAZZA GEN. A. CANTORE;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
3511;PIAZZALE C. RUSCONI;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
3190;VIA A. STOPPANI;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
1970;VIA C. MORONE;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
520;VIA CAIO VALERIO MARIANO;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
1020;VIA DOSSO DOSSI;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
100;CORSO DEGLI ALPINI;10;ovest;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
1570;VIA E. MACCANI;10;ovest;da rotatoria incrocio Via Caduti di Nassiriya a Corso degli Alpini;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
1460;VIA G. B. LAMPI;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
420;VIA G. BRESADOLA;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
2070;VIA G. OBERZINER;10;entrambi;;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
1480;VIA LAVISOTTO;10;entrambi;dal cavalcavia verso Via Stoppani;;11/10/2023;20.15;04.00;19.00;05.00;09/10/2023;13/10/2023;
2500;LARGO E. PRATI;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
190;VIA ASILO PEDROTTI;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
3801;VIA BEATO G. ALBERIONE;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
2020;VIA DEI MUREDEI;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
470;VIA G. BUCCELLA;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
1560;VIA G. E T. LORENZONI;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
3901;VIA G. MATTEOTTI;17;sud;lato sud;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
3901;VIA G. MATTEOTTI;17;entrambi;da incrocio Via Ortigara a incrocio VIA G. Buccella;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
1940;VIA MONTE CORNO;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
2660;VIA O. ROVERETI;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
2170;VIA ORTIGARA;17;entrambi;;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
2900;VIA R. DA SANSEVERINO;17;entrambi;Parcheggio  (1 entrate);;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
3510;VIA VITTORIO VENETO;17;entrambi;da largo E. Prati a rotatoria incrocio Via G.e T. Lorenzoni ;;08/11/2023;20.15;04.00;19.00;05.00;06/11/2023;13/10/2023;
100;CORSO DEGLI ALPINI;11;est;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
480;CORSO M. BUONARROTI;11;ovest;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
3050;LARGO N. SAURO;11;entrambi;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
2320;PIAZZA S. PELLICO;11;entrambi;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
20;VIA A. ABONDI;11;entrambi;da incrocio via Maccani a incrocio via Pancheri;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
3650;VIA A. SCHMID;11;entrambi;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
1660;VIA DELLA MALVASIA;11;entrambi;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
3590;VIA DI CAMPOTRENTINO;11;entrambi;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
1570;VIA E. MACCANI;11;est;da Corso degli Alpini  a rotatoria incrocio Via Caduti di Nassiriya;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
1170;VIA FELICE E G. FONTANA;11;entrambi;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
3660;VIA L. SENESI;11;entrambi;compreso parcheggi;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
2820;VIA SAN MARTINO;11;entrambi;;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
3290;VIA TORRE D'AUGUSTO;11;entrambi;da Via A. Manzoni ad Hotel Monaco;;18/10/2023;20.15;04.00;19.00;05.00;16/10/2023;13/10/2023;
2445;LARGO L. PIGARELLI;14;entrambi;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
2470;LARGO PORTA NUOVA;14;entrambi;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
450;VIA BRIGATA ACQUI;14;entrambi;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
2450;VIA C. A. PILATI;14;entrambi;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
1600;VIA CARD. C. MADRUZZO;14;entrambi;da incrocio Via 24 Maggio a incrocio Via A. Rosmini;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
2250;VIA DEI PARADISI;14;entrambi;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
1400;VIA DON GIUSEPPE GRAZIOLI;14;sud;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
210;VIA F. BARBACOVI;14;entrambi;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
1060;VIA MONS. C. ENDRICI;14;entrambi;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
2750;VIA S. FRANCESCO D'ASSISI;14;entrambi;;;16/10/2023;20.15;04.00;19.00;05.00;12/10/2023;13/10/2023;
3050;LARGO N. SAURO;15;entrambi;da semaforo a via A. Manzoni;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
880;PIAZZA DANTE;15;entrambi;;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
3030;PIAZZA RAFFAELLO SANZIO;15;entrambi;da incrocio  Via A. Manzoni a incrocio Via Card. Bernardo Clesio;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
3400;PIAZZA VENEZIA;15;entrambi;;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
1730;VIA A. MANZONI;15;entrambi;;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
2670;VIA A. ROSMINI;15;ovest;;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
800;VIA CARD. BERNARDO CLESIO;15;entrambi;;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
3430;VIA DEI VENTUNO;15;entrambi;;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
3300;VIA TORRE VANGA;15;entrambi;;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
3310;VIA TORRE VERDE;15;entrambi;;;17/10/2023;20.15;04.00;19.00;05.00;13/10/2023;13/10/2023;
290;VIA A. BETTINI;33;entrambi;;;13/10/2023;20.15;02.30;19.00;05.00;11/10/2023;13/10/2023;
3817;VIA DI MADONNA BIANCA;33;entrambi;;;13/10/2023;20.15;02.30;19.00;05.00;11/10/2023;13/10/2023;
3450;VIALE VERONA;33;entrambi;da incrocio Via A. Fogazzaro a incrocio rotonda Via A. Degasperi;;13/10/2023;20.15;02.30;19.00;05.00;11/10/2023;13/10/2023;
3350;CORSO 3 NOVEMBRE;16;entrambi;compresi vialetti interni;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
1600;VIA CARD. C. MADRUZZO;16;entrambi;da incrocio Via 24 Maggio e Via Santa Croce;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
760;VIA DAMIANO CHIESA;16;entrambi;;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
1140;VIA F. FILZI;16;entrambi;;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
460;VIA F.LLI BRONZETTI;16;entrambi;;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
2330;VIA F.LLI PERINI;16;nord;lato nord;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
1830;VIA P. A. MATTIOLI;16;entrambi;;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
2950;VIA SANTA CROCE;16;entrambi;;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
1610;VICOLO CARD. C. MADRUZZO;16;entrambi;;;19/10/2023;20.15;04.00;19.00;05.00;17/10/2023;13/10/2023;
3500;VIA A. VIVALDI;18;entrambi;;;20/10/2023;20.15;02.30;19.00;05.00;18/10/2023;13/10/2023;
1810;VIA C. MARTINI;18;entrambi;;;20/10/2023;20.15;02.30;19.00;05.00;18/10/2023;13/10/2023;
2330;VIA F.LLI PERINI;18;sud;lato sud;;20/10/2023;20.15;02.30;19.00;05.00;18/10/2023;13/10/2023;
3901;VIA G. MATTEOTTI;18;nord;lato nord;;20/10/2023;20.15;02.30;19.00;05.00;18/10/2023;13/10/2023;
3530;VIA R. ZANDONAI;18;entrambi;;;20/10/2023;20.15;02.30;19.00;05.00;18/10/2023;13/10/2023;
3510;VIA VITTORIO VENETO;18;entrambi;da via Mattioli a via 3 Novembre;;20/10/2023;20.15;02.30;19.00;05.00;18/10/2023;13/10/2023;
2680;VIALE ROVERETO;18;entrambi;;;20/10/2023;20.15;02.30;19.00;05.00;18/10/2023;13/10/2023;
1130;PIAZZA DI FIERA;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
1630;VIA B. MALFATTI;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
10;VIA C. ABBA;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
1900;VIA DEI MILLE;19;sud;lato sud e piazzetta;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
1720;VIA DELLA MANTOVANA;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
940;VIA DIETRO LE MURA A;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
3905;VIA EDDA ALBERTINI;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
2520;VIA G. A PRATO;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
2370;VIA PIAVE;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
2730;VIA SAN BERNARDINO;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
2780;VIA SAN GIOVANNI BOSCO;19;entrambi;;;23/10/2023;20.15;04.00;19.00;05.00;19/10/2023;13/10/2023;
4048;PONTE BEATO MARIO BORZAGA;20;entrambi;;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
1340;VIA B. GIOVANELLI;20;entrambi;;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
1900;VIA DEI MILLE;20;nord;lato nord;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
1920;VIA DEI MOLINI;20;entrambi;;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
1400;VIA DON GIUSEPPE GRAZIOLI;20;nord;compreso parcheggio ex Cassa Malati;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
1150;VIA FIUME;20;entrambi;;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
360;VIA P. BENEDETTO BONELLI;20;entrambi;;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
3550;VIA ZARA;20;entrambi;;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
3360;VIALE TRIESTE;20;entrambi;;;24/10/2023;20.15;04.00;19.00;05.00;20/10/2023;13/10/2023;
4047;PONTE DEI MILLE;21;entrambi;;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
1160;VIA A. FOGAZZARO;21;entrambi;;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
40;VIA ADAMELLO;21;entrambi;;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
300;VIA BEZZECCA;21;entrambi;;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
1370;VIA GOCCIADORO;21;entrambi;da Largo Donatori Vol. Sangue a inrocio con Via S.F. Crosina-B. Sartori;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
1650;VIA MALTA;21;entrambi;;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
1890;VIA MILANO;21;sud;;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
2200;VIA PALERMO;21;entrambi;compreso parcheggio;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
865;VIA S.F.CROSINA-B.SARTORI;21;entrambi;compreso parcheggio;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
3450;VIALE VERONA;21;entrambi;da incrocio Via Marsala a incrocio Via A. Fogazzaro ;;25/10/2023;20.15;04.00;19.00;05.00;23/10/2023;13/10/2023;
170;VIA A. APOLLONIO;22;est;lato est;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
2050;VIA A. NICOLODI;22;est;lato est;;26/10/2023;20.15;04.00;19.00;05.00;24/10/2023;13/10/2023;
